,Price,Distance,Bathroom,Car,Landsize,BuildingArea
235,1780000.0,13.8,3.0,6.0,1057.0,220.0
236,630000.0,13.8,1.0,2.0,311.0,94.0
238,660000.0,13.8,1.0,1.0,602.0,123.0
241,580000.0,13.8,1.0,1.0,225.0,93.0
242,1335000.0,13.8,1.0,4.0,777.0,22.0
244,510000.0,13.8,1.0,1.0,127.0,76.0
246,425000.0,13.8,1.0,2.0,115.0,57.0
251,845000.0,13.8,1.0,2.0,745.0,130.0
259,447000.0,13.8,1.0,1.0,137.0,77.0
261,678000.0,13.8,1.0,2.0,606.0,87.0
262,580000.0,13.8,2.0,1.0,175.0,76.0
264,840000.0,13.8,2.0,2.0,534.0,136.0
269,577000.0,13.8,2.0,1.0,205.0,113.0
276,857000.0,13.8,2.0,1.0,675.0,100.0
282,535600.0,13.8,1.0,1.0,154.0,91.0
284,1085000.0,11.1,3.0,6.0,592.0,251.0
285,781000.0,11.1,1.0,2.0,533.0,117.0
292,683000.0,11.1,1.0,2.0,534.0,167.0
299,588000.0,11.1,1.0,1.0,328.0,118.0
301,710000.0,11.1,1.0,3.0,540.0,116.0
306,875000.0,11.1,1.0,4.0,559.0,169.0
321,675000.0,11.1,2.0,2.0,171.0,109.0
322,708000.0,11.1,1.0,2.0,585.0,97.0
339,693000.0,11.1,2.0,4.0,315.0,170.0
340,620000.0,11.1,2.0,2.0,276.0,100.0
342,728500.0,11.1,1.0,1.0,531.0,157.0
343,931000.0,11.1,2.0,1.0,590.0,160.0
349,815000.0,11.1,2.0,3.0,555.0,130.0
356,1200000.0,11.1,1.0,4.0,633.0,158.0
361,292000.0,11.1,1.0,1.0,153.0,70.0
368,1205000.0,6.3,2.0,2.0,101.0,105.0
371,1939000.0,6.3,2.0,2.0,296.0,150.0
375,1870000.0,6.3,1.0,1.0,217.0,116.0
383,2050000.0,6.3,2.0,1.0,205.0,116.0
400,1435000.0,6.3,2.0,1.0,144.0,107.0
409,1210000.0,6.3,1.0,0.0,249.0,96.0
410,2801000.0,6.3,2.0,2.0,624.0,222.0
416,1800000.0,6.3,2.0,2.0,405.0,121.0
418,2200000.0,6.3,1.0,2.0,495.0,163.0
438,1300000.0,6.3,1.0,2.0,212.0,106.0
445,1900000.0,6.3,1.0,2.0,328.0,108.0
457,1285000.0,6.3,1.0,2.0,186.0,80.0
465,3625000.0,6.3,1.0,2.0,709.0,251.0
466,4200000.0,6.3,3.0,3.0,563.0,333.0
467,1101000.0,6.3,1.0,2.0,103.0,3.0
468,3512500.0,6.3,2.0,2.0,617.0,285.0
486,940000.0,5.9,1.0,2.0,298.0,108.0
490,1380000.0,5.9,2.0,2.0,277.0,174.0
491,490000.0,5.9,1.0,1.0,423.0,62.0
492,1850000.0,5.9,3.0,1.0,478.0,270.0
494,971000.0,5.9,2.0,2.0,285.0,128.0
495,710000.0,5.9,1.0,1.0,214.0,77.0
497,750000.0,5.9,1.0,1.0,226.0,92.0
499,1053000.0,5.9,1.0,1.0,269.0,109.0
500,1377000.0,5.9,1.0,1.0,417.0,168.0
501,970000.0,5.9,1.0,2.0,350.0,125.0
503,751000.0,5.9,1.0,1.0,118.0,79.0
504,950000.0,5.9,1.0,1.0,173.0,102.0
506,685000.0,5.9,1.0,2.0,228.0,90.0
508,1230000.0,5.9,1.0,2.0,594.0,148.0
512,770000.0,5.9,1.0,1.0,226.0,87.0
515,890000.0,5.9,1.0,1.0,300.0,185.0
519,1440000.0,5.9,1.0,1.0,487.0,131.0
525,1000000.0,5.9,2.0,2.0,440.0,120.0
526,1435000.0,5.9,2.0,2.0,532.0,147.0
528,1425000.0,5.9,2.0,2.0,495.0,139.0
530,1340000.0,5.9,2.0,2.0,683.0,232.0
531,955000.0,5.9,1.0,1.0,263.0,117.0
533,1100000.0,5.9,2.0,5.0,559.0,195.0
537,1640000.0,5.9,3.0,2.0,562.0,204.0
539,610000.0,5.9,1.0,1.0,301.0,104.0
540,940000.0,5.9,3.0,1.0,491.0,127.0
541,890000.0,5.9,1.0,1.0,242.0,110.0
543,1180000.0,5.9,2.0,2.0,617.0,149.0
544,1480000.0,5.9,2.0,2.0,597.0,180.0
548,865000.0,5.9,2.0,1.0,146.0,132.0
552,1037500.0,5.9,1.0,2.0,506.0,110.0
553,1050000.0,5.9,2.0,2.0,318.0,160.0
557,1430000.0,5.9,2.0,0.0,418.0,158.0
564,1130000.0,5.9,2.0,1.0,272.0,157.0
565,1135000.0,5.9,1.0,1.0,296.0,104.0
566,950000.0,5.9,2.0,1.0,298.0,147.0
569,390000.0,5.9,1.0,1.0,1957.0,69.0
570,1345000.0,5.9,1.0,1.0,552.0,155.0
572,1381500.0,5.9,2.0,2.0,416.0,168.0
573,940000.0,5.9,2.0,2.0,285.0,172.0
574,995000.0,5.9,2.0,1.0,314.0,177.0
576,786000.0,5.9,2.0,1.0,576.0,120.0
577,705000.0,5.9,1.0,3.0,252.0,108.0
579,760000.0,5.9,1.0,1.0,124.0,77.0
582,1000000.0,5.9,2.0,2.0,200.0,144.0
587,1305000.0,5.9,1.0,1.0,278.0,166.0
590,1215000.0,5.9,1.0,1.0,452.0,175.0
591,545000.0,5.9,1.0,2.0,194.0,71.0
594,1705000.0,5.9,2.0,4.0,598.0,273.0
597,2650000.0,11.0,3.0,2.0,753.0,399.0
599,1670000.0,11.0,2.0,2.0,599.0,220.0
601,2050000.0,11.0,3.0,4.0,310.0,315.0
607,1555000.0,11.0,2.0,2.0,731.0,149.0
614,1100000.0,11.0,3.0,2.0,276.0,178.0
615,1337000.0,11.0,1.0,2.0,583.0,112.0
619,1518000.0,11.0,2.0,2.0,516.0,145.0
620,1710000.0,11.0,1.0,2.0,806.0,101.0
623,1655000.0,11.0,1.0,3.0,780.0,152.0
628,1550000.0,11.0,2.0,2.0,780.0,180.0
630,1662000.0,11.0,2.0,2.0,351.0,228.0
632,1665000.0,11.0,2.0,3.0,702.0,145.0
646,900000.0,11.0,2.0,2.0,153.0,110.0
650,2752000.0,11.0,4.0,2.0,1075.0,390.0
654,1500000.0,11.0,2.0,2.0,710.0,139.0
659,1800000.0,11.0,2.0,4.0,749.0,206.0
663,1830000.0,11.0,2.0,3.0,724.0,168.0
665,1415000.0,11.0,1.0,1.0,605.0,111.0
666,1440000.0,11.0,1.0,1.0,687.0,104.0
667,1250000.0,11.0,2.0,2.0,321.0,199.0
669,1600000.0,11.0,3.0,4.0,700.0,266.0
670,1860000.0,11.0,2.0,3.0,696.0,274.0
673,1790000.0,11.0,2.0,2.0,514.0,240.0
674,1950000.0,11.0,2.0,2.0,844.0,278.0
677,1650000.0,11.0,1.0,1.0,697.0,164.0
685,1200000.0,12.2,3.0,2.0,372.0,201.0
686,1075000.0,12.2,1.0,2.0,695.0,114.0
688,1500000.0,12.2,2.0,2.0,621.0,203.0
690,700000.0,12.2,1.0,2.0,367.0,110.0
691,761000.0,12.2,2.0,4.0,400.0,94.0
694,1365000.0,12.2,1.0,1.0,792.0,792.0
695,1100000.0,12.2,2.0,2.0,803.0,152.0
702,690000.0,12.2,1.0,1.0,216.0,90.0
703,1631000.0,12.2,2.0,3.0,782.0,215.0
705,1500000.0,12.2,2.0,1.0,593.0,255.0
710,1529500.0,12.2,3.0,2.0,585.0,317.0
714,600000.0,12.2,1.0,1.0,153.0,80.0
722,1240000.0,12.2,2.0,2.0,766.0,192.0
724,700000.0,12.2,1.0,2.0,192.0,88.0
730,1110000.0,12.2,1.0,1.0,586.0,86.0
731,1305000.0,12.2,1.0,1.0,760.0,120.0
733,855000.0,12.2,2.0,1.0,320.0,85.0
739,900500.0,12.2,2.0,2.0,256.0,134.0
743,1200000.0,12.2,2.0,2.0,839.0,198.0
745,830000.0,12.2,1.0,2.0,212.0,130.0
748,850000.0,10.5,1.0,1.0,593.0,118.0
750,851000.0,10.5,3.0,1.0,557.0,181.0
754,1155000.0,10.5,2.0,2.0,569.0,225.0
760,680000.0,10.5,1.0,2.0,570.0,120.0
765,627500.0,10.5,1.0,1.0,550.0,143.0
769,950000.0,10.5,3.0,3.0,761.0,281.0
789,705000.0,10.5,1.0,1.0,581.0,106.0
790,1100000.0,10.5,3.0,2.0,873.0,395.0
792,892500.0,10.5,1.0,1.0,586.0,118.0
797,522500.0,10.5,1.0,1.0,220.0,101.0
799,680000.0,10.5,2.0,2.0,554.0,140.0
803,875000.0,10.5,1.0,3.0,812.0,117.0
807,762000.0,10.5,2.0,2.0,589.0,150.0
815,805000.0,10.5,2.0,2.0,593.0,103.0
818,634000.0,10.5,2.0,1.0,582.0,153.0
823,1819000.0,6.6,2.0,1.0,244.0,180.0
827,1015000.0,6.6,1.0,2.0,114.0,120.0
835,1193000.0,6.6,1.0,1.0,178.0,100.0
839,981000.0,6.6,1.0,0.0,159.0,84.0
840,1690000.0,6.6,2.0,2.0,339.0,159.0
842,540000.0,6.6,1.0,1.0,483.0,51.0
847,2100000.0,9.7,1.0,1.0,659.0,123.0
848,1800000.0,9.7,2.0,2.0,715.0,218.0
849,1255000.0,9.7,1.0,1.0,208.0,129.0
850,1070000.0,9.7,2.0,2.0,206.0,112.0
853,2570000.0,9.7,3.0,2.0,715.0,420.0
854,2400000.0,9.7,2.0,2.0,744.0,226.0
857,806000.0,9.7,1.0,1.0,122.0,97.0
860,2250000.0,9.7,3.0,2.0,600.0,356.0
869,2800000.0,9.7,3.0,2.0,678.0,349.0
874,1850000.0,9.7,1.0,1.0,1015.0,166.0
881,700000.0,9.7,1.0,1.0,188.0,110.0
884,2125000.0,9.7,2.0,2.0,699.0,252.0
888,1800000.0,9.7,2.0,2.0,577.0,200.0
899,905000.0,9.7,1.0,2.0,281.0,150.0
900,1750000.0,9.7,3.0,2.0,453.0,308.0
901,760000.0,9.7,1.0,1.0,121.0,100.0
904,1367000.0,9.7,2.0,2.0,219.0,164.0
910,1400000.0,9.7,3.0,2.0,241.0,240.0
913,3270000.0,9.7,2.0,4.0,935.0,241.0
916,625000.0,9.7,1.0,1.0,115.0,104.0
924,2730000.0,9.7,3.0,2.0,674.0,336.0
932,1053000.0,9.7,1.0,2.0,231.0,98.0
935,1472000.0,9.7,2.0,2.0,306.0,170.0
954,2188000.0,9.7,2.0,2.0,752.0,253.0
955,755000.0,9.7,1.0,1.0,213.0,92.0
961,3290000.0,9.7,3.0,2.0,1007.0,350.0
968,2410000.0,9.7,2.0,1.0,685.0,207.0
981,2000000.0,9.7,1.0,2.0,739.0,291.0
982,1900000.0,9.7,2.0,1.0,665.0,155.0
985,3401000.0,9.7,2.0,1.0,706.0,166.0
987,1750000.0,9.7,2.0,3.0,613.0,193.0
995,3020000.0,9.7,3.0,2.0,715.0,420.0
998,2450000.0,9.7,2.0,2.0,981.0,260.0
1001,730000.0,9.7,1.0,1.0,130.0,80.0
1005,1500000.0,9.7,2.0,2.0,404.0,190.0
1008,1700000.0,9.7,1.0,1.0,672.0,115.0
1010,1315000.0,9.2,2.0,2.0,260.0,167.0
1011,1500000.0,9.2,2.0,1.0,778.0,154.0
1012,3230000.0,9.2,4.0,3.0,1135.0,275.0
1017,1905000.0,9.2,2.0,2.0,647.0,185.0
1018,3300000.0,9.2,4.0,2.0,760.0,477.0
1019,1900000.0,9.2,2.0,2.0,642.0,215.0
1020,2251000.0,9.2,1.0,2.0,888.0,137.0
1024,2205000.0,9.2,2.0,2.0,750.0,214.0
1025,1265000.0,9.2,2.0,1.0,347.0,160.0
1029,1750000.0,9.2,2.0,2.0,673.0,185.0
1030,1450000.0,9.2,1.0,2.0,665.0,124.0
1031,2614000.0,9.2,2.0,2.0,772.0,150.0
1032,1825000.0,9.2,2.0,3.0,736.0,225.0
1038,3250000.0,9.2,4.0,2.0,886.0,520.0
1041,1150000.0,9.2,2.0,1.0,207.0,144.0
1048,1572000.0,9.2,2.0,2.0,662.0,330.0
1054,1750000.0,9.2,3.0,2.0,705.0,365.0
1055,1850000.0,9.2,2.0,2.0,619.0,254.0
1059,2130000.0,9.2,3.0,2.0,1274.0,275.0
1061,3690000.0,9.2,4.0,2.0,624.0,154.0
1065,1740000.0,9.2,2.0,2.0,610.0,275.0
1067,2575000.0,9.2,3.0,2.0,657.0,355.0
1068,1388800.0,9.2,2.0,1.0,517.0,247.0
1070,1800000.0,9.2,2.0,4.0,587.0,165.0
1072,2910000.0,9.2,3.0,2.0,1070.0,247.0
1078,2200000.0,9.2,3.0,2.0,900.0,355.0
1085,1700000.0,9.2,2.0,3.0,763.0,168.0
1088,1230000.0,9.2,3.0,1.0,310.0,188.0
1091,1950000.0,9.2,3.0,2.0,665.0,232.0
1093,1750000.0,9.2,2.0,2.0,710.0,170.0
1095,2000000.0,9.2,2.0,2.0,1002.0,244.0
1096,1480000.0,9.2,1.0,4.0,605.0,116.0
1099,1818000.0,9.2,1.0,1.0,722.0,90.0
1104,2525000.0,9.2,2.0,2.0,1235.0,196.0
1106,3360000.0,9.2,3.0,1.0,904.0,420.0
1110,1903000.0,9.2,1.0,2.0,713.0,720.0
1114,1720000.0,9.2,3.0,2.0,869.0,170.0
1120,1675000.0,9.2,2.0,2.0,667.0,201.0
1121,1680000.0,9.2,3.0,1.0,362.0,200.0
1131,2205000.0,9.2,2.0,2.0,1010.0,250.0
1135,2100000.0,9.2,2.0,3.0,949.0,175.0
1137,685000.0,9.2,1.0,1.0,177.0,85.0
1141,1335000.0,9.2,2.0,2.0,368.0,177.0
1146,1900000.0,9.2,2.0,4.0,587.0,165.0
1156,1040000.0,9.2,1.0,1.0,250.0,112.0
1161,1250000.0,9.2,2.0,2.0,644.0,153.0
1165,1875000.0,9.2,3.0,2.0,842.0,200.0
1167,1530000.0,9.2,2.0,2.0,701.0,198.0
1171,1700000.0,9.2,2.0,5.0,754.0,175.0
1184,1651000.0,9.2,1.0,2.0,657.0,151.0
1185,1920000.0,9.2,3.0,2.0,900.0,355.0
1186,1560000.0,9.2,2.0,3.0,845.0,199.0
1190,1038000.0,9.2,2.0,1.0,207.0,144.0
1194,1660000.0,9.2,3.0,2.0,737.0,193.0
1202,1770000.0,9.2,2.0,1.0,720.0,147.0
1211,875000.0,13.0,1.0,2.0,348.0,121.0
1217,1425000.0,13.0,2.0,2.0,613.0,143.0
1218,851000.0,13.0,1.0,1.0,140.0,250.0
1219,1222500.0,13.0,2.0,2.0,299.0,181.0
1230,1317500.0,13.0,1.0,1.0,576.0,127.0
1232,1435000.0,13.0,3.0,2.0,291.0,212.0
1234,1110000.0,13.0,1.0,2.0,692.0,164.0
1235,2435000.0,13.0,2.0,2.0,795.0,250.0
1238,1500000.0,13.0,2.0,1.0,565.0,222.0
1239,1300000.0,13.0,2.0,2.0,697.0,194.0
1242,1125000.0,13.0,1.0,2.0,584.0,116.0
1247,1328000.0,13.0,2.0,2.0,610.0,112.0
1248,1340000.0,13.0,2.0,1.0,526.0,135.0
1249,1155000.0,13.0,3.0,2.0,271.0,205.0
1251,1275000.0,13.0,1.0,4.0,758.0,138.0
1255,855000.0,13.0,1.0,1.0,296.0,103.0
1258,650000.0,13.0,1.0,1.0,116.0,92.0
1259,1815000.0,13.0,2.0,4.0,902.0,233.0
1260,2255000.0,13.0,3.0,2.0,557.0,353.0
1265,855000.0,13.0,2.0,3.0,226.0,475.0
1270,1860000.0,13.0,2.0,3.0,855.0,197.0
1271,725000.0,13.0,1.0,1.0,227.0,100.0
1273,1293000.0,13.0,1.0,1.0,632.0,108.0
1277,1328000.0,13.0,2.0,2.0,690.0,245.0
1278,1247000.0,13.0,2.0,3.0,354.0,255.0
1287,1370000.0,13.0,1.0,2.0,624.0,143.0
1292,1095000.0,13.0,2.0,1.0,581.0,170.0
1294,725000.0,13.0,1.0,1.0,677.0,88.0
1296,825000.0,13.0,2.0,2.0,147.0,149.0
1301,1165000.0,13.0,1.0,2.0,694.0,125.0
1304,1910000.0,13.0,2.0,4.0,736.0,284.0
1309,820000.0,13.0,1.0,3.0,336.0,109.0
1314,1430000.0,13.0,2.0,2.0,611.0,168.0
1315,910000.0,13.0,1.0,2.0,274.0,96.0
1316,2520000.0,13.0,4.0,2.0,579.0,361.0
1321,1900000.0,13.0,2.0,2.0,567.0,250.0
1329,670000.0,13.0,2.0,1.0,123.0,90.0
1337,1320000.0,13.0,3.0,3.0,346.0,220.0
1342,1535000.0,13.0,2.0,2.0,572.0,150.0
1345,1281000.0,13.0,1.0,5.0,594.0,150.0
1347,1385000.0,13.0,2.0,2.0,664.0,178.0
1352,2620000.0,13.0,4.0,2.0,579.0,361.0
1361,825000.0,13.9,2.0,1.0,176.0,125.0
1362,746000.0,13.9,1.0,2.0,281.0,95.0
1366,1275000.0,13.9,2.0,2.0,683.0,190.0
1378,1025000.0,13.9,2.0,2.0,384.0,120.0
1387,1220000.0,13.9,2.0,2.0,585.0,178.0
1389,885000.0,13.9,1.0,2.0,565.0,110.0
1390,830000.0,13.9,2.0,2.0,292.0,141.0
1395,1210000.0,13.9,3.0,2.0,291.0,222.0
1397,1160000.0,13.9,2.0,2.0,321.0,180.0
1398,1215000.0,13.9,2.0,3.0,730.0,110.0
1399,1200000.0,13.9,2.0,2.0,619.0,191.0
1400,1050000.0,13.9,2.0,2.0,627.0,140.0
1401,950000.0,13.9,2.0,4.0,618.0,146.0
1406,1338000.0,13.9,2.0,2.0,610.0,177.0
1410,651000.0,13.9,1.0,1.0,265.0,150.0
1412,1390000.0,13.9,2.0,2.0,590.0,118.0
1421,1100000.0,13.9,1.0,2.0,578.0,163.0
1425,1206000.0,13.9,1.0,1.0,636.0,138.0
1433,1415000.0,13.9,2.0,2.0,604.0,177.0
1434,1185000.0,13.9,2.0,2.0,305.0,207.0
1435,1060000.0,13.9,3.0,1.0,313.0,166.0
1449,845000.0,13.9,2.0,2.0,295.0,145.0
1452,860000.0,13.9,2.0,1.0,254.0,117.0
1455,921000.0,13.9,2.0,2.0,167.0,140.0
1460,742500.0,13.9,1.0,1.0,300.0,135.0
1461,920000.0,13.9,2.0,2.0,578.0,120.0
1467,702000.0,13.9,1.0,1.0,591.0,102.0
1470,805000.0,13.9,2.0,1.0,268.0,117.0
1472,1100000.0,13.9,2.0,1.0,274.0,190.0
1477,1050000.0,13.9,1.0,4.0,726.0,131.0
1481,722000.0,13.9,2.0,1.0,201.0,79.0
1482,930000.0,13.9,1.0,2.0,588.0,133.0
1484,921000.0,13.9,2.0,1.0,291.0,119.0
1485,1035000.0,13.9,1.0,2.0,610.0,160.0
1489,1352000.0,13.9,2.0,2.0,618.0,196.0
1490,1005000.0,13.9,2.0,2.0,296.0,205.0
1492,1600000.0,13.9,2.0,2.0,659.0,315.0
1494,1200000.0,13.9,1.0,1.0,721.0,120.0
1497,780000.0,13.9,2.0,2.0,421.0,126.0
1498,1250000.0,13.9,2.0,2.0,314.0,231.0
1502,1110000.0,13.9,2.0,2.0,583.0,176.0
1504,1690000.0,13.9,2.0,2.0,700.0,165.0
1505,791000.0,13.9,3.0,1.0,391.0,122.0
1506,900000.0,13.9,1.0,3.0,780.0,140.0
1511,970000.0,13.9,2.0,2.0,267.0,156.0
1517,823000.0,13.9,2.0,2.0,213.0,143.0
1523,1045000.0,13.9,2.0,1.0,316.0,190.0
1528,655000.0,13.9,1.0,1.0,154.0,80.0
1529,1550000.0,13.9,3.0,2.0,623.0,257.0
1530,835000.0,13.9,1.0,1.0,250.0,105.0
1534,1465000.0,13.9,2.0,2.0,319.0,256.0
1536,910000.0,13.9,1.0,1.0,587.0,96.0
1537,920000.0,13.9,2.0,1.0,388.0,123.0
1538,935000.0,13.9,2.0,2.0,230.0,160.0
1539,977000.0,13.9,1.0,2.0,543.0,163.0
1540,1352000.0,13.9,1.0,2.0,686.0,122.0
1541,1115000.0,13.9,2.0,2.0,575.0,160.0
1545,1197000.0,13.9,1.0,2.0,692.0,147.0
1548,1365000.0,13.9,1.0,1.0,582.0,151.0
1550,1698888.0,13.9,2.0,2.0,598.0,337.0
1559,965000.0,13.9,2.0,1.0,283.0,28.0
1560,870000.0,13.9,2.0,2.0,365.0,150.0
1563,1161000.0,13.9,2.0,3.0,629.0,168.0
1565,1266000.0,13.9,1.0,3.0,676.0,146.0
1566,700000.0,13.9,2.0,2.0,194.0,200.0
1568,1325000.0,13.9,4.0,2.0,363.0,265.0
1569,770000.0,13.9,2.0,1.0,281.0,132.0
1572,1175000.0,13.9,2.0,2.0,620.0,158.0
1573,1200000.0,13.9,1.0,1.0,640.0,120.0
1575,1370000.0,13.9,1.0,2.0,684.0,196.0
1576,1433500.0,13.9,1.0,1.0,725.0,186.0
1581,860000.0,13.9,2.0,1.0,210.0,131.0
1585,715000.0,13.9,1.0,1.0,194.0,114.0
1594,1550000.0,13.9,3.0,2.0,583.0,296.0
1596,790000.0,13.9,1.0,2.0,406.0,100.0
1598,1020000.0,13.9,1.0,2.0,596.0,144.0
1609,886000.0,13.9,2.0,1.0,185.0,122.0
1613,1015000.0,13.9,2.0,3.0,625.0,198.0
1617,1255000.0,13.9,2.0,2.0,610.0,167.0
1619,1320000.0,13.9,1.0,1.0,593.0,94.0
1620,870000.0,13.9,2.0,1.0,326.0,133.0
1622,1472500.0,13.9,2.0,2.0,592.0,219.0
1623,640000.0,13.9,2.0,2.0,298.0,118.0
1628,1620000.0,13.1,2.0,2.0,697.0,255.0
1630,645000.0,13.1,1.0,1.0,140.0,81.0
1638,1560000.0,13.1,2.0,3.0,729.0,167.0
1641,1715000.0,13.1,2.0,2.0,458.0,170.0
1642,1200000.0,13.1,1.0,2.0,550.0,110.0
1643,1760000.0,13.1,1.0,0.0,741.0,151.0
1645,948000.0,13.1,1.0,2.0,384.0,108.0
1649,975000.0,13.1,2.0,2.0,299.0,158.0
1650,1325000.0,13.1,1.0,1.0,702.0,134.0
1651,750000.0,13.1,2.0,1.0,150.0,3.0
1652,1400000.0,13.1,2.0,1.0,643.0,159.0
1653,1500000.0,13.1,1.0,2.0,664.0,106.0
1654,1600000.0,13.1,2.0,1.0,692.0,195.0
1657,1461400.0,13.1,2.0,2.0,780.0,235.0
1658,775000.0,13.1,1.0,1.0,211.0,108.0
1660,1670000.0,13.1,4.0,4.0,707.0,162.0
1664,4000000.0,13.1,1.0,2.0,763.0,120.0
1665,928000.0,13.1,1.0,1.0,307.0,106.0
1667,636000.0,13.1,1.0,1.0,151.0,82.0
1672,1170000.0,13.1,1.0,1.0,755.0,95.0
1673,1670000.0,13.1,2.0,2.0,590.0,231.0
1681,857000.0,13.1,1.0,1.0,492.0,119.0
1682,822500.0,13.1,2.0,1.0,238.0,130.0
1689,645000.0,10.8,1.0,1.0,566.0,75.0
1690,502000.0,10.8,1.0,1.0,220.0,106.0
1691,495000.0,10.8,2.0,1.0,327.0,124.0
1693,868000.0,10.8,1.0,4.0,749.0,77.0
1694,645000.0,10.8,2.0,1.0,283.0,154.0
1695,652000.0,10.8,2.0,1.0,216.0,145.0
1697,850000.0,10.8,2.0,2.0,606.0,240.0
1702,575000.0,10.8,1.0,3.0,559.0,98.0
1703,882000.0,10.8,2.0,2.0,393.0,216.0
1704,730000.0,10.8,2.0,2.0,544.0,135.0
1714,610000.0,10.8,2.0,1.0,283.0,154.0
1716,696000.0,10.8,1.0,0.0,557.0,90.0
1718,579000.0,10.8,2.0,1.0,198.0,144.0
1724,765000.0,10.8,1.0,1.0,658.0,105.0
1725,475000.0,10.8,1.0,1.0,115.0,104.0
1726,550000.0,10.8,2.0,1.0,288.0,160.0
1728,495000.0,10.8,1.0,1.0,158.0,138.0
1730,565000.0,10.8,2.0,1.0,566.0,78.0
1734,1635000.0,11.2,1.0,2.0,366.0,156.0
1739,3695000.0,11.2,3.0,2.0,836.0,284.0
1744,3700000.0,11.2,3.0,2.0,742.0,247.0
1746,1975000.0,11.2,1.0,2.0,432.0,122.0
1750,1390000.0,11.2,1.0,2.0,340.0,137.0
